Name,Title,Role,Department,Institution,Profile URL,Google Scholar ID
Michael Osborne,Professor,Director,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/michael-osborne,iTNcAakAAAAJ
Alex Rogers,Professor,Co-Director,Department of Computer Science,University of Oxford,http://www.cs.ox.ac.uk/people/alex.rogers/,0Z4sWCoAAAAJ
Alessandro Abate,Professor,,Department of Computer Science,University of Oxford,http://www.cs.ox.ac.uk/people/alessandro.abate/,yskbfM4AAAAJ
Wes Armour,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/wes-armour,0cuZV8gAAAAJ
Fazl Barez,Dr,,Oxford's AI Governance Initiative,University of Oxford,https://fbarez.github.io/,EAjpNIMAAAAJ
Atilim Gunes Baydin,Dr,,Department of Computer and Engineering Science,University of Oxford,,GWBSOj4AAAAJ
Adel Bibi,Dr,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/adel-bibi,Q4j2laYAAAAJ
Simon Birnbach,Dr,,Department of Computer Science,University of Oxford,https://www.cs.ox.ac.uk/people/simon.birnbach/,hFcLy40AAAAJ
Michael Bronstein,Professor,,Department of Computer Science,University of Oxford,https://www.cs.ox.ac.uk/people/michael.bronstein/,UU3N6-UAAAAJ
Ronald Clark,Professor,,Department of Computer Science,University of Oxford,https://www.cs.ox.ac.uk/people/ronald.clark/,0bzqo0YAAAAJ
Jan-Peter Calliess,Dr,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/jan-peter-calliess,FlAQJzgAAAAJ
Giuseppe De Giacomo,Professor,,Department of Computer Science,University of Oxford,https://www.cs.ox.ac.uk/people/giuseppe.degiacomo/,Sfo4K0oAAAAJ
Daniele De Martini,Dr,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/daniele-de-martini/,F7QcGh0AAAAJ
Xiaowen Dong,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/xiaowen-dong,_8tUq8kAAAAJ
Stephen Duncan,Professor,,Department of Engineering Science,University of Oxford,,l99dKkMAAAAJ
Maurice Fallon,Professor,,Department of Engineering Science,University of Oxford,https://eng.ox.ac.uk/people/maurice-fallon,BqV8LaoAAAAJ
Seth Flaxman,Professor,,Department of Computer Science,University of Oxford,https://www.cs.ox.ac.uk/people/seth.flaxman/,Wnxq0mgAAAAJ
Jakob Foerster,Professor,,Department of Engineering Science,University of Oxford,https://www.jakobfoerster.com/,6z4lQzMAAAAJ
Luca Furieri,Professor,,Department of Engineering Science,University of Oxford,https://www.lucafurieri.it/,Sxta_doAAAAJ
Yarin Gal,Professor,,Department of Computer Science,University of Oxford,http://www.cs.ox.ac.uk/people/yarin.gal/website/,SIayDoQAAAAJ
Jonathan Gammell,,,Department of Engineering Science,University of Oxford,,9W1jAhEAAAAJ
